Thu Feb  4 00:20:53 2016 Program started.
Thu Feb  4 01:03:04 2016 Found moon @ x: 1019  y: 556
Thu Feb  4 01:03:11 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:03:16 2016 Found coin @ x: 873  y: 95
Thu Feb  4 01:03:26 2016 Found coin @ x: 405  y: 173
Thu Feb  4 01:03:28 2016 Found coin @ x: 717  y: 173
Thu Feb  4 01:03:31 2016 Found hammer @ x: 1184  y: 433
Thu Feb  4 01:03:48 2016 Found moon @ x: 1195  y: 424
Thu Feb  4 01:03:59 2016 make kohl @ x: 512  y: 306
Thu Feb  4 01:04:05 2016 Found coin @ x: 613  y: 215
Thu Feb  4 01:04:14 2016 Found coin @ x: 301  y: 225
Thu Feb  4 01:04:30 2016 Found coin @ x: 613  y: 69
Thu Feb  4 01:04:40 2016 Found coin @ x: 197  y: 267
Thu Feb  4 01:04:42 2016 Found coin @ x: 197  y: 277
Thu Feb  4 01:05:24 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:05:37 2016 Found coin @ x: 509  y: 271
Thu Feb  4 01:06:20 2016 Found coin @ x: 93  y: 329
Thu Feb  4 01:06:30 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:06:33 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:06:58 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:07:01 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:07:11 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:07:13 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:07:31 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 01:07:48 2016 Found moon @ x: 967  y: 374
Thu Feb  4 01:07:55 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:08:02 2016 Found coin @ x: 665  y: 615
Thu Feb  4 01:08:05 2016 Found hammer @ x: 718  y: 277
Thu Feb  4 01:08:19 2016 Found hammer @ x: 1008  y: 565
Thu Feb  4 01:08:21 2016 Found moon @ x: 729  y: 268
Thu Feb  4 01:08:25 2016 make horn @ x: 512  y: 310
Thu Feb  4 01:08:30 2016 Found coin @ x: 873  y: 85
Thu Feb  4 01:08:37 2016 Found moon @ x: 1019  y: 556
Thu Feb  4 01:08:44 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:08:50 2016 Found coin @ x: 405  y: 173
